query,label
What is the average age of a Palermo resident?,large
What is another name for unicode?,small
Morgan Carroll unsuccessfully ran against Mike Coffman for which of Colorado's congressional district?,large
"who is the lead singer of the Belgian band K's Choice, Marcus Cooper or Sarah Bettens ?",small
What was the nickname for the actor that the original Dinosaurus leading role was intended for?,large
Matthias Sention Sr. was a founding settler of a historic neighborhood founded by Puritans who emigrated in what year?,large
Who made the accusation that the Christians had started the Great Fire?,large
When was the building consecrated?,small
In what language are the songs in the genre for which Alberto Stylee is most famous typically sung?,small
"In 1979, how much did the average per capita income change for Libyans?",large
Where did Cadmon live?,small
Are Genista and Callicarpa in the same family?,small
Warriors appointed to a province were called what?,large
Who was the third caliph?,small
In which city was born the man who wrote a book about a British Army officer who fought in the Second Boer War?,large
How many people live in Lancaster and Morecambe?,large
What is the term for needing the Bible for salvation?,small
What ocean borders Namibia?,small
Who closed the government mint?,large
X Marks the Spot was presented by the author and travel writer of what nationality?,large
Julian C. Day is the former President and CEO of an American big box department store chain that purchased Sears for how much in 2005?,large
Are Edward H. Griffith and Paula Heredia both filmmakers?,small
How many men were studied for tests on the flavor of beer in the Neuropsychopharmacology journal in 2013?,large
Which British poet's writings were the basis for In the Region of the Summer Stars?,large
Where was the Russian Bomarsund fortress at?,small
"Phil Regan was nicknamed ""The Vulture"" by the pitcher who played 12 seasons for which teams?",large
In what year did Hayek come to London?,small
Which Latin father described the belief that Jesus' siblings were his cousins?,large
"Who was drafted into the 2009 NFL Draft, during the he seventy-fourth annual meeting of National Football League (NFL)?",large
After whom is the Houston skate park named?,large
How many times did Israelites have political independence in ancient history? ,large
What year was the municipality that is known for the Amasaman Secondary Technical School inaugurated?,large
"""So Sorry, I Said"" is a single by a singer and actress that won an Acadmeny Award for her role as Sally Bowles in what film?",small
"In what year did the World Council of Churches meet in Uppsala, Sweden?",small
What was The Sun's initial stance toward the closures?,large
Are Schlumbergera and Diphylleia both small cacti?,small
Where did John hold a council in January 1215?,large
"The Devil's Acre was a notorious slum near a large, mainly Gothic abbey church that between 1540 and 1556 had the status of what?",large
What would be the new name of the D.C. State?,small
Were other mathematicians amazed by von Neumann?,small
"Along with the Oriana, what's the other P&O liner with a name that starts with the same letter?",large
Which contestant came in second on season 12 of American Idol?,small
What type of game is Agricola and Carrom?,small
Who was frustrated in Whitehead's books but still interested?,large
"What is a major airline operating flights from Kuala Lumpur International Airport and from secondary hubs in Kota Kinabalu and Kuching to destinations throughout Asia, Oceania and Europe, whos executive officer is a veteran in the tourism and aviation industry with over 30 years of experience in related fields ?",large
When did Valencia's rapid development begin?,large
What type of work did Paul Vi finish that had been started by two previous popes?,large
"What types of musicians were the Contortions, Teenage Jesus and the Jerks, Mars, DNA, Theoretical Girls and Rhys Chatham?",small
Where did Japanese ground attack repeatedly?forces ,large
Samuel Taylor is listed as enriching what?,large
"Which university is older, University of South Alabama or Youngstown State University?",small
"What was the second album by the singer who was a client of Andros Rodriguez, and whose debut album was  ""Santogold""?",large
"Umberto Guidoni and Reinhold Ewald, are physicists and, which other occupation?",small
"For one hour each spring, how far ahead of Pacific Time is Mountain Time in the United States?",small
Are Lynchburg Regional Airport and Grand Canyon West Airport both public airports?,small
What well-known musician was once part of the college a capella group The Counterparts?,large
What did Feynman help develop in the 1980s?,small
Atchison is a city named in honor of of man best known for the questionable claim that for one day he may have been what?,large
What is Stephen F. Cohen's wife's nationality?,small
"From this case, what happened?",small
Which coat is more common with dogs living in colder climates?,small
"William R. Vance, was the seventh mayor of Louisville, Kentucky from 1847 to 1850, during his administration, he conveyed the tract of land that became Cave Hill Cemetery, a Victorian era National Cemetery and arboretum located at 701 Baxter Avenue, Louisville, in which U.S. state?",large
When did a rescue team depart?,large
Bar Hopping is a 2000 comedy film starring an American actor known for his role as Chachi Arcola on what sitcom?,small
When did Gaddafi decide to stage his coup?,small
When was full coverage of the BBC's standard programming launched in online stream format?,large
Andy Duncan was the CEO of the group that operates what scheme?,large
The Directorate of Analysis has an office dedicated to what country?,small
