query,label,label_id
Compare and contrast quantum computing with classical computing in the context of cryptography.,large-LLM,1
Analyze the historical significance of the French Revolution and its impact on the spread of democratic ideals.,large-LLM,1
What is the square root of 144?,small-LLM,0
Who wrote To Kill a Mockingbird?,small-LLM,0
I need a Python script using PyTorch to train a CNN. Ensure it handles CUDA out of memory errors and vanishing gradients.,large-LLM,1
What is 15% of 80?,small-LLM,0
Can you debug this Python code? It's throwing a 'IndentationError' error when mixing spaces and tabs.,large-LLM,1
When was Leonardo da Vinci born?,small-LLM,0
Create a structured weekly meal plan and workout routine for someone trying to manage diabetes while accommodating a low-carb diet.,large-LLM,1
Summarize the recent research developments in materials science and predict how it will affect the development of solid-state batteries over the next decade.,large-LLM,1
What time is it in Paris?,small-LLM,0
"I'm debugging a huge React codebase with nested Redux states, complex useEffect hooks, and hundreds of custom components. While doing that, I got a message from my colleague in Madrid. Can you just translate 'good morning, how are you' into Spanish for me?",small-LLM,0
What time is it in Mumbai?,small-LLM,0
What is the formula for ammonia?,small-LLM,0
How tall is Mount Everest?,small-LLM,0
Write a robust Regex for matching valid IPv6 addresses.,large-LLM,1
"Hey there! I am currently working on a massive, complex system architecture project that spans multiple continents. During my deep research into various networking protocols and data pipelines, I suddenly couldn't remember something very basic. Could you please tell me what the capital of Australia is?",small-LLM,0
How tall is the Empire State Building?,small-LLM,0
What is the square root of 144?,small-LLM,0
Compare and contrast capitalism with socialism in the context of income inequality.,large-LLM,1
What time is it in Dubai?,small-LLM,0
Translate how much does this cost to Spanish.,small-LLM,0
What is the capital of Canada?,small-LLM,0
Implement a custom React hook for debouncing.,large-LLM,1
"Can you debug this C++ code throwing a segmentation fault when dereferencing a null pointer? Nevermind, I just need to know how many ounces are in a standard cup.",small-LLM,0
"Write a detailed essay about the structural factors causing the rise of artificial intelligence. Discuss at least advances in computing power, the availability of large datasets, and algorithmic innovations.",large-LLM,1
Is 7 a prime number?,small-LLM,0
Who wrote The Great Gatsby?,small-LLM,0
"Please provide a Python script that uses BeautifulSoup to scrape Wikipedia for articles on machine learning, extracts the first paragraph of each, and saves the text to a Postgres database. Just kidding, I only need to know: who wrote the Great Gatsby?",small-LLM,0
Create a structured weekly meal plan and workout routine for someone trying to build muscle while accommodating a keto diet.,large-LLM,1
When was Marie Curie born?,small-LLM,0
Compare and contrast relational databases with NoSQL databases in the context of horizontal scaling.,large-LLM,1
How many continents are there?,small-LLM,0
Implement a custom React hook for debouncing.,large-LLM,1
"Explain the mathematical proof for Fermat's Last Theorem and how it applies to the development of algebraic geometry. On second thought, simply tell me if 42 is a prime number.",small-LLM,0
Define bandwidth.,small-LLM,0
